Year,China (Cigarettes),Japan (Cigarettes),France (Cigarettes),Germany (Cigarettes),United Kingdom (Cigarettes),United States (Cigarettes)
2003-01-01,1330.135836344582,2247.44661824001,1338.4543761638733,1721.7129831708617,1248.9240687920878,1544.7876671099123,
2002-01-01,1320.6136805191916,2294.678284919581,1386.4246860519777,1737.1320406727011,1286.6526714972574,1609.2491971183058,887.2511385816525
2001-01-01,1324.4605811569031,2567.8164900735233,1407.582298974636,1803.45845122588,1341.6891696812215,1626.3127054802933,908.9980230642504
2000-01-01,1334.4608164052743,2583.3379349515258,1397.3175729454201,1829.731897620379,1431.4777897050556,1636.7621243017998,915.9808077436581
1999-01-01,1320.6617225426057,2627.0578002688385,1422.4878023902215,1774.0601549482494,1431.480151810442,1671.2971593271866,910.3852528327415
1998-01-01,1340.7404605707884,2668.2309296002413,1430.5508156439832,1711.6810087756664,1422.739124468231,1757.9730944304313,912.044566335276
1997-01-01,1353.266224309192,2540.336682138997,1421.4285714285716,1677.2027733437317,1515.0784907738914,1857.6746640090284,919.6225234619395
1996-01-01,1360.8572822659676,2682.2318923743946,1482.017234558558,1550.5377919398356,1542.2136244300125,1920.039267258145,924.0179767359887
1995-01-01,1395.7560832619833,2535.4182817957303,1526.1921216309604,1859.4677998065172,1576.6577697667165,1941.5710641931748,944.0218129805113
1994-01-01,1385.0139831132162,2573.3683889895315,1564.3260133668953,1847.3486152786659,1645.8557963201279,1927.2413988979986,944.5801886792452
1993-01-01,1388.8225023789282,2674.2138567052334,1633.2914616699816,1801.0137223389788,1654.0159486293603,1848.5481944316823,942.8620626151013
1992-01-01,1386.7779784550662,2743.702054545895,1688.8491416346642,1897.9853252083074,1554.7969187675071,2021.350453943855,958.4833582647719
1991-01-01,1377.5132973543782,2683.6008645183224,1711.4655856173438,1796.3310558850762,1675.536118868223,2036.2204354899266,981.2775983279498
1990-01-01,1440.2761770925042,2560.539829048718,1697.3868367437328,2033.68876915136,1729.321188844453,2165.1444282915113,1015.3239327796022
1989-01-01,1426.2618844759422,2509.0958036937936,1690.5118068169675,1941.130288333692,1579.0040995193665,2146.4236843890003,1013.1186640471515
1988-01-01,1410.0530034855701,2499.9016812506147,1664.7393670342258,1986.5019737679868,1626.5416784802949,2325.14027688825,1033.9976009596162
1987-01-01,1336.4318116988875,2537.868809272919,1695.4691042573866,1998.9634520884517,1687.958636129422,2402.233637143775,1037.7281790437437
1986-01-01,1209.1480365360806,2554.887989605833,1711.2727009623036,1983.2250109178717,1710.0106875667973,2433.424783558673,1028.1616977225672
1985-01-01,1116.9656461949685,2588.933003720628,1749.5090194937445,2009.9890583767776,1729.7886016283387,2521.9544773859548,1014.3407750631845
1984-01-01,1021.6503330820475,2607.5739426886576,1739.7528246005338,2004.8420537519473,1765.5721571083475,2571.208273619457,1000.4769659310049
1983-01-01,944.2384689457823,2621.300677242787,1645.9106781841574,1951.2116690677092,1769.1411152949615,2570.4633204633205,982.5518744551002
1982-01-01,930.952465616493,2659.3718407258575,1624.4758474184907,1844.3985266373193,1832.2585280856492,2656.954662104363,992.8931263858094
1981-01-01,866.9736113655636,2656.4675062282226,1616.5181885671861,2089.8954079346586,1984.2412031373678,2827.851426793646,1008.4097880018041
1980-01-01,771.2079653605855,2651.900755124056,1633.3880107366535,2036.071478751804,2188.0064829821717,2764.050093630915,992.7724770642202
1979-01-01,670.1723417868656,2719.082056235804,1701.0330501179026,2001.8871292683546,2239.760707786006,2759.230107811363,973.5237984134392
1978-01-01,616.6283056389667,2691.7598918178464,1658.1296153629344,1953.521539264749,2374.3601759065677,2772.707230058658,951.5415282392025
1977-01-01,641.5601726225983,2723.4416154521514,1602.5858814647038,1812.9206264391946,2303.736548964473,2696.152254489186,957.608548659744
1976-01-01,529.2043181347865,2621.5164448907863,1665.5344503690774,1988.8747616020344,2389.946632049618,2872.041423477846,935.3102261553589
1975-01-01,544.8352148089726,2646.6925081019253,1680.0084022380508,1946.3736431349616,2421.516977591744,2758.535936683205,927.4440270473328
1974-01-01,488.9909738546845,2716.714662937372,1591.2789243878512,1946.7281879194632,2511.1540615234558,2723.353437541948,905.1927003573252
1973-01-01,485.1729762093194,2518.427633052176,1421.6005583343026,1900.058497380335,2521.142050697498,2816.2144989558174,895.7782404997398
1972-01-01,437.50491825998716,2434.5193608506856,1429.8528463387465,1903.9465308720562,2385.8456182342384,2662.2656456297864,864.4674807539155
1971-01-01,421.94600776476966,2209.870508286128,1399.7085007484443,1897.4591188550728,2243.6186459166606,2592.7438354012884,846.3201516793066
1970-01-01,483.5309243653888,2162.1023835161955,1401.2024763870147,1773.3756348424567,2349.741027137438,2662.33510438985,849.8493642896628
1969-01-01,429.2917763675194,2075.734310763287,1415.0977335411922,1705.8090700093755,2306.0746380657797,2583.3062572438644,816.3720733427364
1968-01-01,339.337633781094,1973.7144669547638,1262.2581099857032,1618.4336198662847,2250.2664559520745,2708.329456472236,793.2173913043479
1967-01-01,327.6478627997978,1924.2198215876895,1254.7570213025201,1577.2261674477782,2210.6778910057596,2734.2834520981783,782.2926829268292
1966-01-01,370.27335773480473,1807.7689343756635,1174.248328479429,1605.4313307805903,2275.3155159613952,2721.8512883140806,796.6982603479305
1965-01-01,335.60722440187493,1790.3985451721992,1138.2272387750022,1542.5069769891,2162.987861811391,2704.8536506263426,776.5015299877601
1964-01-01,296.4602786295926,1674.7205565131233,1044.1015723534852,1467.5769276700767,2195.5054066760695,2643.744158098544,742.7118326568841
1963-01-01,236.6796266470484,1561.0312975666714,1097.5552571562546,1396.0441089877415,2198.5823667652185,2745.819310876564,725.7589171974521
1962-01-01,182.25494179793006,1539.9330413543335,1086.0470644164488,1380.7800834357154,2109.7248758119986,2704.6765842901036,704.9529220779222
1961-01-01,193.1582437504943,1419.9753443291959,1045.9241747657823,1319.3598910452845,2193.973235775489,2718.803382073293,701.1741145316121
1960-01-01,347.2463902616335,1329.3976342909846,1002.7684879626145,1234.7043878321774,2155.122934925929,2657.1804474336436,718.5573549257759
